"PLANET_IDX","P_NAME","star_code","relative mass (earth)","Density (Earth)","RELATIVE RADIUS","TERRAIN TYPE","TYPE_CLIMATE"
30,"Riftwarder Zephyrian",5210,4.32,0.719,1.82,"mountain|valley|plateau|volcano","arid|frozen|windy|humid"
31,"Sharjah Gamma",7532,1.79,0.995,1.22,"verdant|sea","hot|arid|artificial temperate"
32,"Markab Alpha",6202,5.54,1.742,1.47,"mountain|forest|rocky island|island|grassy hill","artificial temperate|humid|artic|tropical"
33,"Markab Phi",6202,1.25,0.853,1.14,"jungle|urban|hill|plain|glacier|desert","hot|frozen|temperate|tropical|frigid|arid"
34,"Markab Chi",6202,2.72,1.194,1.32,"fungus forest|lakes","artic|windy|tropical"
35,"Astrobane Morphean",4681,5.22,0.805,1.86,"tundra","rocky"
36,"Astrobane Selenean",4681,0.79,0.872,0.97,"rock arche|ocean","artic|temperate|hot|artificial temperate|arid"
37,"Astrobane Dionian",4681,3.41,1.202,1.42,"tundra|savanna|plateau","artic|superheated|temperate|subartic|windy|artificial temperate"
38,"Astrobane Aetherios",4681,1.32,1.352,0.99,"rocky island","temperate|hot|rocky"
39,"Muliphein Chi",712,0.49,0.433,1.04,"lava river|toxic cloudsea|cliff|vine","superheated|frozen|windy|arid"
40,"Tupi Pi",9453,2.01,0.957,1.28,"cliff|ocean|urban|cave|lakes|reef|ice cave","temperate|subartic|artificial temperate|frozen|humid|tropical"
41,"Tupi Mu",9453,8.39,0.847,2.15,"bog|volcano|sinkholes|verdant|hill","rocky|frozen|superheated|artic|temperate|windy|hot"
42,"Tupi Lambda",9453,1.32,1.351,0.99,"rocky island|sinkholes","artificial temperate|superheated"
43,"Tupi Sigma",9453,2.25,0.884,1.37,"ocean|lava river|verdant|rocky island|rocky desert","windy|humid|arid|artificial temperate"
44,"Astrobix XXII",5855,9.19,1.138,2.01,"toxic cloudsea|ice canyon|valley|rock arche|rocky canyon","tropical|artic|frigid"
45,"Nova Cascade X",6768,2.7,1.465,1.23,"reef|rock arche|fungus forest|bog","humid|subartic|temperate|rocky"
46,"Nova Cascade XX",6768,1.01,0.542,1.23,"river|cave|hill|urban","temperate|windy|hot|arid"
47,"Pharaoh's Veil Lambda",5104,1.14,0.513,1.3,"scrubland","humid|frigid|frozen|arid"
48,"Pharaoh's Veil Phi",5104,1.96,0.79,1.35,"toxic cloudsea|river|lava river|reef|cliff","subartic|artic|tropical|arid"
49,"Homam Liu",3388,1.02,1.109,0.97,"desert|city|tundra","hot|artificial temperate|frozen|superheated"
50,"Homam Yi",3388,1.49,0.508,1.43,"vine","humid|tropical|temperate"
51,"Homam Shi",3388,6.62,0.837,1.99,"plateau|rock arche","humid|frigid|windy"
52,"Homam Jiu",3388,6.41,0.793,2.01,"swamp|hill","humid|artificial temperate|subartic|tropical|temperate|frigid|superheated"
53,"Homam Si",3388,4.43,1.183,1.55,"rocky canyon|cave|ice cave|toxic cloudsea|lava river|rocky island|urban|sea","humid|rocky|tropical|superheated|frozen"
54,"Sekhmet's Ember III",599,3.01,1.002,1.44,"reef|bog|hill|sea","frigid|humid|tropical"
55,"Sekhmet's Ember XI",599,4.1,1.376,1.44,"cave|island|plateau|jungle","superheated|artic|hot|rocky"
56,"Sekhmet's Ember I",599,1.25,0.932,1.1,"rainforest|field|urban|ice cave|glacier","temperate|artificial temperate|tropical|artic"
57,"Sekhmet's Ember IV",599,1.44,1.241,1.05,"ice cave|mountain|urban|canyons|valley","arid|frozen|rocky"
58,"Eldritch Veil Chimeraean",4454,4.91,1.294,1.56,"field|jungle|river|city|cliff|rocky desert|ice canyon|forest","subartic|artic|frozen|temperate|frigid|tropical"
59,"Ebon Depths Gaios",2962,3.46,1.074,1.48,"glacier|volcano","superheated|frozen|subartic|rocky"
60,"Ebon Depths Hermesios",2962,0.47,1.118,0.75,"cliff","superheated|artic|windy|artificial temperate|frigid"
61,"Ebon Depths Selenean",2962,0.78,0.767,1.01,"toxic cloudsea","windy|tropical|rocky|frozen|hot"
62,"Ebon Depths Nyxios",2962,2.69,0.891,1.45,"city","subartic|rocky|frozen|humid"
63,"Hatysa Octal",6390,1.04,1.058,0.99,"glacier|rocky desert","frozen|windy"
64,"Ronin's Cascade Eosian",6935,2.83,0.888,1.47,"rocky canyon","arid|artificial temperate|superheated"
65,"Ronin's Cascade Persephonian",6935,2.26,1.225,1.23,"cityscape|grassy hill|rainforest","artic|humid"
66,"Ronin's Cascade Demetrian",6935,1.19,1.294,0.97,"island|grassland","temperate|frigid|artic"
67,"Ronin's Cascade Hestian",6935,8.4,1.466,1.79,"glacier|rocky desert","artic|rocky|temperate"
68,"Scheat VII",9754,6.87,1.003,1.9,"mountain|canyons|desert","superheated|rocky"
69,"Arneb Nymphios",6326,2.7,1.206,1.31,"vine|grassland|swamp|glacier|rocky island|toxic cloudsea|bog|jungle","tropical|frozen|subartic|humid|artificial temperate|temperate"
70,"Aldhibah Pi",9210,6.32,0.753,2.03,"cityscape|ice canyon|tundra|glacier|field|mountain","tropical|frigid|subartic|hot"
71,"Vesperian Whimsy XX",8106,2.9,1.47,1.25,"volcano|bog|barren|ocean|acid pool|jungle|island|glacier","humid|frozen|artificial temperate|subartic|arid|windy"
72,"Polaris Shi",4051,1.92,0.813,1.33,"urban|lakes|swamp|field|verdant","tropical|rocky|arid"
73,"Polaris Qi",4051,0.38,0.972,0.73,"rock arche","hot|subartic|artic"
74,"Polaris Yi",4051,6.65,1.235,1.75,"rock arche|verdant|mountain","rocky|temperate|subartic|superheated|frigid|tropical"
75,"Polaris Wu",4051,8.51,1.349,1.85,"valley","windy|frozen|frigid|artic|subartic"
76,"Polaris Si",4051,1.21,1.402,0.95,"sinkholes","superheated|windy"
77,"Chasoň VII",7534,3.72,0.901,1.6,"hill|volcano|rocky desert|toxic cloudsea|tundra","rocky|subartic|frozen|windy|arid"
78,"Chasoň XII",7534,3.72,1.149,1.48,"rocky canyon|cliff|cityscape|lakes|field|rocky island|plain|ash|urban","tropical|artificial temperate|frigid|frozen|arid|temperate|hot"
79,"Chasoň II",7534,7.17,0.944,1.97,"sea|cliff","frozen|hot|temperate|arid|windy|artic"
80,"Hinotori Whispers Quintal",3999,2.54,1.133,NA,"forest|grassland","humid|artic"
81,"Skyforged Sigma",5084,0.43,1.172,0.72,"vine|jungle|ice cave|ocean|bog|lakes","hot|subartic|temperate|humid"
82,"Alkalurops Asclepian",7923,1.3,0.776,1.19,"island|rocky desert|glacier|forest|plain","temperate|windy|arid|artic"
83,"Alkalurops Helios",7923,5.13,1.268,1.59,"jungle|rocky canyon|glacier|lakes","frozen|subartic|superheated|artificial temperate|frigid|artic"
84,"Alkalurops Irisian",7923,2.85,0.576,1.7,"field|forest|bog|ash|swamp","rocky|tropical|artic|superheated|windy"
85,"Haruka Echoes Si",3045,6.3,0.721,2.06,"grassy hill","frigid|temperate|arid"
86,"Haruka Echoes Wu",3045,2.58,0.957,1.39,"mountain|glacier","artic"
87,"Xamidimura Upsilon",956,1.55,1.026,1.15,"fungus forest|ash|rock arche|mountain|ice canyon|swamp|ocean|jungle","windy|arid|superheated|subartic|humid|rocky"
88,"Wezen San",2457,1.71,0.879,1.25,"rocky desert|verdant","frigid|superheated|arid|tropical"
89,"Wezen Qi",2457,1.73,0.768,1.31,"fungus forest","hot|arid|tropical|rocky"
90,"Seth's Enigma Prime",6109,1.31,0.826,1.17,"cave","artic|artificial temperate|temperate|hot|windy"
91,"Biham Typhonian",4251,8.31,0.622,2.37,"cliff|mountain|rocky desert","tropical|artic|rocky"
92,"Cleopatra's Loom Chimeraean",2743,2.2,1.516,1.13,"forest|fungus forest|field|cliff","frigid|subartic|tropical"
93,"Bellatrix Zephyrian",8618,7.27,0.866,2.03,"cave|cityscape|jungle|plateau|swamp|island|scrubland","arid|frigid|humid|temperate|artificial temperate"
94,"Bellatrix Pantheon",8618,2,0.981,1.27,"tundra|cliff|island","tropical|windy|rocky"
95,"Bellatrix Apollox",8618,5.17,1.097,1.68,"rocky canyon|grassy hill|grassland|reef|rocky desert","subartic|frozen|temperate"
96,"Dracozen XX",9158,3.06,0.828,1.55,"field|desert|vine","tropical|windy|temperate|superheated|artificial temperate"
97,"Dracozen IX",9158,8.3,1.178,1.92,"river","tropical|arid|frozen|superheated|temperate"
98,"Dracozen IV",9158,3.55,1.222,1.43,"field|sinkholes","hot|frozen"
99,"Dracozen XIX",9158,3.11,0.766,1.6,"volcano|desert|cave","artificial temperate|windy|frigid|arid|temperate"
100,"Umi Celestial Septimal",8182,0.89,1.239,0.9,"plain","artificial temperate"
101,"Tianyi IX",9827,8.51,1.109,1.97,"ice cave|mountain|lava river|ocean|river","temperate|arid|subartic"
102,"Tianyi XXI",9827,8.88,1.041,2.04,"hill|lakes|rocky island","artificial temperate|temperate"
103,"Hotaru Ascendance Shi",3199,5.88,0.997,1.81,"lakes|sinkholes|valley|canyons|reef|sea|river|mountain|cave|jungle|scrubland","temperate|subartic|hot|tropical|artificial temperate|superheated|arid"
104,"Hotaru Ascendance Yi",3199,0.58,1.212,0.78,"cave|desert|rocky canyon","artificial temperate|temperate|hot"
105,"Radiara Pantheon",457,1.11,1.094,1,"rocky desert|ocean|vine|volcano","artificial temperate|arid|rocky|windy|frigid|tropical|humid"
106,"Radiara Psychean",457,0.62,1.277,0.79,"toxic cloudsea|rocky desert","artic|humid|tropical|artificial temperate"
107,"Kurhah Psi",4910,6.28,0.912,1.9,"cityscape|swamp|island","arid|frozen|superheated|tropical"
108,"Kurhah Phi",4910,2.76,0.533,1.73,"island|plain","frozen|humid|hot|superheated"
109,"Kurhah Beta",4910,2.29,1.267,1.22,"desert|river","arid|frigid"
110,"Polaris Australis San",1235,0.54,0.862,0.86,"savanna|sea|valley","humid|tropical"
111,"Polaris Australis Qi",1235,3.53,0.751,1.67,"reef","artic|artificial temperate"
112,"Polaris Australis Si",1235,2.72,0.608,1.65,"rocky canyon|river|city","windy|artic|arid|subartic|artificial temperate"
113,"Polaris Australis Ba",1235,2.21,1.353,1.18,"city|lava river|sea","hot|artificial temperate|frozen|humid"
114,"Citalá Yi",9242,2.79,1.105,1.36,"ash|lakes|vine|forest","humid|temperate|artificial temperate|hot"
115,"Citalá Si",9242,3.68,0.759,1.69,"ice cave|ocean|acid pool|toxic cloudsea|valley|urban|grassland|volcano|vine","temperate|frigid|hot|frozen|subartic|humid"
116,"Citalá Ba",9242,3.17,1.677,1.24,"reef|rock arche|cliff","frigid|hot|tropical|superheated|subartic"
117,"Seishin XII",8873,1.4,0.4,1.52,"urban|rocky island|rock arche|verdant|jungle","hot|rocky|arid|windy|frigid"
118,"Sylvarix XII",7699,2.91,0.694,1.61,"rainforest|fungus forest|hill","humid|tropical|windy"
119,"Nebula Nexus Nemesisian",2076,0.41,0.711,0.83,"reef|lava river|acid pool|bog|ash|valley|toxic cloudsea","artificial temperate|superheated|humid|windy|rocky|frozen"
120,"Nebula Nexus Atlasios",2076,4.12,0.992,1.61,"cave|rocky island|lakes|mountain|valley|verdant","artificial temperate|temperate|superheated|hot"
121,"Eaglecrest IV",2832,1.17,1.163,1,"toxic cloudsea|tundra|mountain|glacier","humid|frigid|hot|frozen|superheated"
122,"Eaglecrest XXI",2832,0.57,1.121,0.8,"sea|rocky desert|plateau|tundra|desert|forest|hill|field","superheated|frozen|rocky|hot|humid|frigid"
123,"Cassioflux Zephyrian",5391,6.99,0.106,4.03,"valley|canyons|forest|rocky island|reef|city","frozen|artificial temperate|humid|temperate|artic"
124,"Siriusith Liu",4161,7,0.688,2.17,"sinkholes|canyons|bog|sea","hot|superheated|subartic"
125,"Siriusith Er",4161,1.1,0.606,1.22,"plateau","superheated|rocky|windy|frigid"
126,"Siriusith San",4161,1.53,1.109,1.11,"rock arche","frigid|windy"
127,"Siriusith Qi",4161,5.49,0.616,2.07,"sea","windy|temperate|superheated"
128,"Siriusith Yi",4161,3.32,1.045,1.47,"ice cave|island|ice canyon|rock arche|city","rocky|frigid|frozen|hot|artificial temperate"
129,"Yurei Celestial Psychean",6837,7.69,0.45,2.58,"rock arche|tundra|volcano|glacier|desert","frozen|hot|temperate"
130,"Yurei Celestial Eosian",6837,0.6,1.646,0.71,"bog|sea|cave","artic|temperate|frigid|windy"
131,"Yurei Celestial Morphean",6837,7.47,1.584,1.68,"bog|fungus forest|rocky canyon|island|jungle|lava river","tropical|hot|frigid|humid"
132,"Yurei Celestial Asclepian",6837,1.58,0.77,1.27,"lava river|toxic cloudsea|canyons|field","hot|subartic|artic"
133,"Menkar Nu",5674,6.22,0.876,1.92,"reef","artic|subartic|windy|temperate|superheated|artificial temperate|hot"
134,"Astroflux Tertial",5303,4.14,1.093,1.56,"forest|cave","artificial temperate|superheated|rocky"
135,"Unurgunite Er",4390,1.6,0.906,1.21,"ice canyon|cave","artificial temperate|humid|artic|frigid|rocky"
136,"Ketsueki Whispers Quintal",5604,6.22,0.989,1.85,"plain|rocky island|urban","frigid|artificial temperate|artic|rocky"
137,"Ketsueki Whispers Undecimal",5604,1.27,1.155,1.03,"hill","temperate|tropical"
138,"Etherionara Ba",309,5.26,1.279,NA,"tundra|hill|island|urban|desert|swamp|savanna|fungus forest","tropical|arid|rocky|hot|artic"
139,"Zephyrianix Theta",7960,1.07,1.088,0.99,"fungus forest","artic|frigid|hot|frozen|windy"
140,"Zephyrianix Beta",7960,4.46,1.163,1.57,"rainforest|glacier|forest|island|rocky island|acid pool|plateau|sea|mountain","frigid|temperate|artificial temperate|rocky|humid|superheated"
141,"Zephyrianix Gamma",7960,3.08,1,1.45,"tundra|rainforest","artificial temperate|arid|humid|windy|frigid|subartic"
142,"Helionara Gaian",4240,4.85,0.787,1.83,"field","windy|subartic|frigid|artic|rocky|temperate|hot"
143,"Terebellum Undecimal",45,0.79,1.024,0.92,"ice cave|plateau|reef|ice canyon|city","subartic|rocky|artic|windy|frigid"
144,"Terebellum Secant",45,1.81,1.142,1.17,"fungus forest","humid|temperate|frozen|artic"
145,"Spectronix Jiu",811,0.52,0.866,0.84,"cliff|fungus forest","hot|windy|frigid|temperate|arid"
146,"Spectronix San",811,1.24,0.9,1.11,"ice canyon|sea|rainforest","subartic|tropical|frigid"
147,"Spectronix Yi",811,1.66,NA,1.13,"ocean","frozen|hot"
148,"Diphda Yi",8390,8.04,1.081,1.95,"rock arche|city|savanna|urban|volcano","superheated|rocky|frozen|artic"
149,"Diphda Ba",8390,1.48,1.096,1.11,"forest","temperate"
150,"Diphda Liu",8390,8.14,1.076,1.96,"hill","artic|hot"
151,"Diphda Er",8390,0.99,0.967,1.01,"sinkholes|tundra|reef|acid pool|field|rocky canyon|cliff","artificial temperate|tropical|superheated|rocky|temperate|hot|artic"
152,"Acamar Tritonian",5256,1.7,1.059,1.17,"urban|ice canyon|rock arche|tundra|glacier","rocky|temperate|arid|windy|frozen"
153,"Acamar Hermian",5256,8.41,0.773,2.22,"island","artificial temperate"
154,"Acamar Faunios",5256,1.02,0.968,1.02,"jungle|forest|canyons","rocky|humid|artic"
155,"Acamar Poseidian",5256,8.62,0.856,2.16,"grassland","superheated|artic|humid|windy"
156,"Montuno Nemesisian",4484,3.97,1.012,1.58,"rocky canyon","arid|subartic|temperate"
157,"Hawkfire V",3740,2.32,1.087,1.29,"desert|verdant|rocky canyon","hot|tropical"
158,"Tarf Prime",6693,1.92,1.064,1.22,"bog","tropical|windy|frozen|superheated"
159,"Tarf Octal",6693,5.06,0.651,1.98,"forest","superheated|windy|tropical"
160,"Tarf Quintal",6693,5.48,1.39,1.58,"field|rocky desert|desert|bog|ice cave|jungle","artic|superheated|hot|arid"
161,"Tarf Undecimal",6693,5.7,0.898,1.85,"acid pool|swamp","subartic|tropical|arid|artificial temperate|frozen|rocky|hot"
162,"Mesarthim Alpha",9869,1.75,0.844,1.28,"mountain|ice cave|bog|sea|rock arche|rocky island|island|verdant","rocky|frozen|subartic|artic|temperate|artificial temperate|superheated"
163,"Mesarthim Delta",9869,1.69,NA,1.3,"island","subartic|rocky|arid|frigid"
164,"Mönch Zeta",2192,5.73,1.073,1.75,"desert|canyons|ice cave","rocky|frigid"
165,"Mönch Sigma",2192,1.64,0.726,NA,"desert|ash|vine|ice canyon|island|rock arche","frigid|hot|superheated|frozen|windy|artic"
166,"Mönch Rho",2192,5.48,1.295,1.62,"glacier|lakes|savanna","frozen|temperate|windy|superheated|subartic"
167,"Merga Qi",373,2.3,1.09,1.28,"lava river","arid|artic|humid"
168,"Merga Ba",373,1.54,1.073,1.13,"urban|ice canyon|lakes","frigid|artic|frozen"
169,"Hannya's Expanse Nu",3358,2.64,NA,1.35,"verdant|cityscape","temperate|artificial temperate"
170,"Hannya's Expanse Theta",3358,3.83,0.729,1.74,"tundra|rocky desert|glacier|volcano","arid|subartic|frigid|superheated|temperate"
171,"Sakura's Labyrinth Olympus",8102,5.35,0.96,1.77,"rock arche|ocean","superheated|hot|arid|subartic"
172,"Cassionix Qi",8060,2.7,1.132,1.34,"canyons|hill|rocky desert|plain","artificial temperate|temperate|frozen|frigid"
173,"Inari's Cascade Gaian",7562,2.08,0.644,1.48,"reef|lava river|river|cliff|ocean","windy|subartic|hot|arid"
174,"Inari's Cascade Selenean",7562,0.72,0.611,1.06,"ocean","windy|rocky|artificial temperate"
175,"Quantumara IV",7964,3.85,1.003,1.57,"acid pool|mountain","rocky|frozen|superheated"
176,"Quantumara XVI",7964,7.04,1.337,1.74,"cave","rocky|humid|tropical|artic"
177,"Kiri Horizon Omicron",3065,1.46,1.127,1.09,"cityscape","temperate|rocky"
178,"Kiri Horizon Lambda",3065,0.55,0.909,0.85,"plateau|glacier|desert|rocky desert","frigid|artic|hot|frozen"
179,"Kasai Ember Sigma",83,1.74,0.706,1.35,"ice cave|barren","frigid|arid|hot|artificial temperate"
180,"Kasai Ember Gamma",83,0.43,1.114,0.73,"city","humid"
181,"Kasai Ember Mu",83,2.58,1.455,1.21,"city|field|ocean|ice canyon|plateau|barren","frozen|windy|arid|rocky|artificial temperate"
182,"Kasai Ember Eta",83,1.8,0.891,1.26,"plain|island|lava river","temperate|superheated|hot|arid"
183,"Kasai Ember Delta",83,2.94,0.858,1.51,"grassy hill","arid|windy|superheated|humid"
184,"Ryusei Radiance Zephyrian",9084,1.15,1.057,1.03,"lakes","windy|humid|artificial temperate"
185,"Cosmaraith Alpha",6538,5.9,1.125,1.74,"plateau","frozen|windy"
186,"Cosmaraith Upsilon",6538,0.59,1.169,0.8,"savanna|rocky desert","windy|hot|rocky|tropical|frozen"
187,"Citadelle Atlasios",656,7.21,0.89,2.01,"sea|canyons|field|cave","temperate|hot|superheated|windy|humid"
188,"Citadelle Helios",656,6.65,1.098,1.82,"plain|cityscape|lava river","frigid|arid|artic|tropical|rocky|hot"
189,"Anadolu Lambda",5982,7.05,1.022,1.9,"plain|cityscape|urban|savanna","tropical|rocky|frozen"
190,"Anadolu Mu",5982,3.72,0.786,1.68,"bog|plateau|plain","temperate|tropical|frigid|frozen"
191,"Hoggar Harpian",1826,3.02,1.011,1.44,"scrubland|reef|cityscape|cave","arid|artic|hot|artificial temperate"
192,"Sansuna Sirenios",3072,7.67,0.611,2.32,"vine|cave","arid"
193,"Ninja's Horizon Gamma",5987,4,1.22,1.49,"sea","tropical|superheated"
194,"Ninja's Horizon Xi",5987,7.96,1.375,1.8,"plateau","frozen|arid"
195,"Ninja's Horizon Beta",5987,2.9,0.944,1.45,"ice cave|field|urban|bog","frigid|superheated|humid|subartic|artic"
196,"Ninja's Horizon Pi",5987,1.75,1.281,1.11,"volcano|hill|acid pool|ice canyon|sinkholes","hot|windy|tropical|rocky|artic|artificial temperate"
197,"Minelauva XX",8983,6.25,1.446,1.63,"plateau|tundra|mountain|city|rock arche|reef|forest","rocky|superheated|humid|tropical|frozen"
198,"Minelauva VI",8983,6.01,0.761,1.99,"island|valley","superheated|frigid|frozen|tropical|hot"
199,"Minelauva XXIV",8983,6.61,0.909,1.94,"rock arche|grassland","temperate|hot|frigid|subartic"
200,"Minelauva VIII",8983,3.79,1.376,1.4,"rock arche","frozen|frigid|arid"
201,"Quantumith II",6228,5.59,1.117,1.71,"cave|rainforest","tropical"
202,"Quantumith XIX",6228,4.82,1.079,1.65,"ocean","rocky|temperate|windy"
203,"Quantumith XXI",6228,6.87,1.514,1.66,"rainforest|volcano|jungle","hot|humid|artic"
204,"Quantumith VIII",6228,1.71,1.162,1.14,"forest|tundra|sea","artificial temperate|superheated|artic"
205,"Quantumith XI",6228,2.8,0.594,1.68,"ocean","tropical"
206,"Sekhmet's Resonance Helios",9976,5.88,1.035,1.78,"urban|reef|city","tropical|hot|arid|rocky"
207,"Berserkr IV",783,3.58,0.717,1.71,"sea|forest|river","subartic|humid|artic|arid"
208,"Penumbralix X",145,7.45,1.118,1.88,"mountain","frozen"
209,"Nemea Residue Shi",7057,5.35,0.566,2.11,"desert|ice canyon|plain|river|cliff","subartic|rocky|frozen"
210,"Nemea Residue Yi",7057,4.68,0.979,1.68,"river|sea|tundra|glacier","windy|artic|superheated|frigid"
211,"Nemea Residue Jiu",7057,0.9,0.919,0.99,"desert|rock arche|rocky desert|cityscape","superheated|frozen|arid|artic|windy"
212,"Cryptic Shadows XX",4654,3.8,1.023,1.55,"savanna|forest","arid|temperate|artificial temperate|humid"
213,"Cryptic Shadows XV",4654,1.02,1.448,0.89,"rock arche|hill","frigid"
214,"Kaminari Enigma XVII",7300,5.45,0.897,1.82,"urban|scrubland|grassy hill|cityscape|ice canyon","artificial temperate|hot|arid|rocky|superheated|subartic"
215,"Obsidian Threshold Er",3368,1.5,0.832,1.22,"ash|acid pool","windy|superheated|subartic"
216,"Obsidian Threshold Wu",3368,8.41,0.854,2.14,"verdant|rocky desert","frozen|subartic|windy|artic"
217,"Obsidian Threshold Liu",3368,9.3,0.839,2.23,"urban","frigid"
218,"Obsidian Threshold Si",3368,1.46,1.228,1.06,"mountain","arid|windy"
219,"Sakura Radiance VII",8224,7.04,1.171,1.82,"forest|rocky canyon|jungle|sinkholes","hot|frozen|superheated|temperate"
220,"Sakura Radiance XXI",8224,3.46,0.45,1.97,"lakes|field|hill|rock arche","temperate|humid|hot"
221,"Vindemiatrix Decimal",6954,1.92,1.124,1.2,"city|plain","superheated|artic|windy|tropical|temperate|subartic|frigid"
222,"Rasalhague Selenean",5877,1.19,1.636,0.9,"cave|cityscape|ice canyon","subartic|artic"
223,"Rasalhague Orphean",5877,1.07,0.88,1.07,"plateau|barren|savanna|forest","rocky|arid|superheated"
224,"Rasalhague Harpian",5877,3.26,0.76,1.62,"glacier|tundra|canyons|rock arche|swamp|river","artic|tropical|arid|rocky|windy"
225,"Rasalhague Zephyrian",5877,1.3,1.043,1.08,"field|acid pool|plain","rocky|hot|subartic"
226,"Rasalhague Hecatean",5877,2.97,1.095,NA,"river|lakes|fungus forest","temperate|artic|frigid|windy|hot|subartic"
227,"Nebulion Nereidos",4785,7.08,0.88,2,"reef|cityscape|urban|canyons","hot|artificial temperate|tropical"
228,"Osiris Cascade Er",1397,3.03,1.047,1.42,"river|reef|mountain","temperate|artificial temperate"
229,"Osiris Cascade Yi",1397,8.09,1.22,1.88,"jungle","tropical|humid"
230,"Osiris Cascade Jiu",1397,9.71,1.218,2,"ice cave|hill","artificial temperate|frozen|subartic|temperate|frigid"
231,"Osiris Cascade Ba",1397,1.49,1.242,1.06,"vine","artic|humid|arid|frozen|temperate"
232,"Alniyat Jiu",3086,0.53,1.272,0.75,"cave|verdant|cityscape","frozen|subartic|artic|superheated"
233,"Alniyat Shi",3086,1.12,1.254,0.96,"river","superheated|temperate"
234,"Lunacara Alpha",5694,3.16,1.41,1.31,"swamp","superheated|tropical|frigid|arid|hot"
235,"Lunacara Eta",5694,1.45,1.033,1.12,"city|rock arche|tundra|cave|field|desert","tropical|arid|temperate|artic"
236,"Lunacara Delta",5694,2.11,0.96,NA,"plateau|desert","artificial temperate|windy|temperate|arid"
237,"Cryptic Mirage Asclepian",557,3.94,0.802,1.7,"jungle|tundra|forest","arid|artificial temperate|hot|frozen"
238,"Cryptic Mirage Orphean",557,1.32,1.302,1,"rocky desert|cliff|valley|glacier|plateau","frozen|humid|frigid"
